priority_score,type,url,inbound_internal_links,title,h1
13212,knowledge_home,https://aggressorbulkit.online/knowledge/,12212,Base2026 Video Knowledge Search,Search creator-video evidence.
7801,conversion,https://aggressorbulkit.online/ai-visibility-audit/,6801,Free AI Visibility Snapshot | AI Search Check,"Find out if AI recommends your business, or your competitors"
5298,topic,https://aggressorbulkit.online/knowledge/topics/,5098,Topic Evidence Pages,Topic Evidence Pages
5251,other,https://aggressorbulkit.online/knowledge/methodology.html,5251,Base2026 Methodology | Base2026,How this source library works
5197,creator,https://aggressorbulkit.online/knowledge/creators/,5097,Creator Source Profiles,Creator Source Profiles
5076,other,https://aggressorbulkit.online/knowledge/api.html,5076,Base2026 API & AI Access | Base2026,Base2026 API & AI Access
5068,other,https://aggressorbulkit.online/knowledge/analytics.html,5068,Base2026 Analytics,Signals across the public source library.
4398,personal_home,https://aggressorbulkit.online/,3398,"Free AI Search Roadmap | SEO, GEO & AEO Visibility",Get Your Free AI Search Roadmap
1723,other,https://aggressorbulkit.online/knowledge/roadmap.html,1723,Base2026 Roadmap | Base2026,Base2026 Roadmap
1722,other,https://aggressorbulkit.online/knowledge/support.html,1722,Support Base2026 | Base2026,Support Base2026
1710,other,https://aggressorbulkit.online/knowledge/opt-out.html,1710,Creator Correction / Removal | Base2026,Correction and removal requests
1700,other,https://aggressorbulkit.online/knowledge/source-policy.html,1700,Source & Content Policy | Base2026,Source & Content Policy
1693,other,https://aggressorbulkit.online/knowledge/story.html,1693,Base2026 Project Story | Base2026,Base2026 Project Story
214,topic,https://aggressorbulkit.online/knowledge/topics/internal-linking.html,14,Internal Linking creator evidence | Base2026,Internal Linking
213,topic,https://aggressorbulkit.online/knowledge/topics/on-page-seo.html,13,On-Page SEO creator evidence | Base2026,On-Page SEO
212,topic,https://aggressorbulkit.online/knowledge/topics/local-seo-google-business-profile.html,12,Local SEO / Google Business Profile creator evidence | Base2026,Local SEO / Google Business Profile
211,topic,https://aggressorbulkit.online/knowledge/topics/ecommerce-seo-collection-pages.html,11,Ecommerce SEO / collection pages creator evidence | Base2026,Ecommerce SEO / collection pages
210,topic,https://aggressorbulkit.online/knowledge/topics/ai-search-reporting.html,10,AI Search Reporting creator evidence | Base2026,AI Search Reporting
210,topic,https://aggressorbulkit.online/knowledge/topics/backlink-quality.html,10,Backlink quality creator evidence | Base2026,Backlink quality
210,topic,https://aggressorbulkit.online/knowledge/topics/core-update-analysis.html,10,Core Update Analysis creator evidence | Base2026,Core Update Analysis
210,topic,https://aggressorbulkit.online/knowledge/topics/self-promotional-listicles.html,10,Self-Promotional Listicles creator evidence | Base2026,Self-Promotional Listicles
210,topic,https://aggressorbulkit.online/knowledge/topics/youtube-ai-citations.html,10,YouTube / AI citations creator evidence | Base2026,YouTube / AI citations
209,creator,https://aggressorbulkit.online/knowledge/creators/tjrobertson52.html,109,@tjrobertson52 source profile | Base2026,@tjrobertson52
209,topic,https://aggressorbulkit.online/knowledge/topics/content-freshness.html,9,content freshness creator evidence | Base2026,content freshness
209,topic,https://aggressorbulkit.online/knowledge/topics/content-strategy.html,9,Content Strategy creator evidence | Base2026,Content Strategy
208,topic,https://aggressorbulkit.online/knowledge/topics/ai-citation-tracking.html,8,AI citation tracking creator evidence | Base2026,AI citation tracking
208,topic,https://aggressorbulkit.online/knowledge/topics/ai-content-quality.html,8,AI content quality creator evidence | Base2026,AI content quality
208,topic,https://aggressorbulkit.online/knowledge/topics/ai-content-workflow.html,8,AI Content Workflow creator evidence | Base2026,AI Content Workflow
208,topic,https://aggressorbulkit.online/knowledge/topics/ai-knowledge-base.html,8,AI Knowledge Base creator evidence | Base2026,AI Knowledge Base
208,topic,https://aggressorbulkit.online/knowledge/topics/ai-retrieval-behavior.html,8,AI retrieval behavior creator evidence | Base2026,AI retrieval behavior
208,topic,https://aggressorbulkit.online/knowledge/topics/chatgpt-query-research.html,8,ChatGPT query research creator evidence | Base2026,ChatGPT query research
208,topic,https://aggressorbulkit.online/knowledge/topics/content-repurposing.html,8,content repurposing creator evidence | Base2026,content repurposing
208,topic,https://aggressorbulkit.online/knowledge/topics/listicles-ai-recommendations.html,8,Listicles / AI recommendations creator evidence | Base2026,Listicles / AI recommendations
208,topic,https://aggressorbulkit.online/knowledge/topics/risk-avoid-recommendation-spam.html,8,Risk/avoid / recommendation spam creator evidence | Base2026,Risk/avoid / recommendation spam
207,topic,https://aggressorbulkit.online/knowledge/topics/ai-citations.html,7,AI Citations creator evidence | Base2026,AI Citations
207,topic,https://aggressorbulkit.online/knowledge/topics/ai-content-disclosure.html,7,AI Content Disclosure creator evidence | Base2026,AI Content Disclosure
207,topic,https://aggressorbulkit.online/knowledge/topics/answer-first-content.html,7,Answer-first content creator evidence | Base2026,Answer-first content
207,topic,https://aggressorbulkit.online/knowledge/topics/brand-proof-pages.html,7,Brand proof pages creator evidence | Base2026,Brand proof pages
207,topic,https://aggressorbulkit.online/knowledge/topics/google-business-profile.html,7,Google Business Profile creator evidence | Base2026,Google Business Profile
207,topic,https://aggressorbulkit.online/knowledge/topics/llms-txt-contradiction-ai-crawlers.html,7,llms.txt contradiction / AI crawlers creator evidence | Base2026,llms.txt contradiction / AI crawlers
207,topic,https://aggressorbulkit.online/knowledge/topics/local-seo.html,7,Local SEO creator evidence | Base2026,Local SEO
207,topic,https://aggressorbulkit.online/knowledge/topics/press-release-manipulation-risk-avoid.html,7,Press release manipulation risk/avoid creator evidence | Base2026,Press release manipulation risk/avoid
207,topic,https://aggressorbulkit.online/knowledge/topics/review-strategy.html,7,Review Strategy creator evidence | Base2026,Review Strategy
207,topic,https://aggressorbulkit.online/knowledge/topics/risk-avoid-scaled-content-abuse.html,7,Risk/avoid / scaled content abuse creator evidence | Base2026,Risk/avoid / scaled content abuse
207,topic,https://aggressorbulkit.online/knowledge/topics/wordpress-seo-plugin-capabilities.html,7,WordPress SEO / plugin capabilities creator evidence | Base2026,WordPress SEO / plugin capabilities
206,topic,https://aggressorbulkit.online/knowledge/topics/scaled-ai-content-risk.html,6,Scaled AI content risk creator evidence | Base2026,Scaled AI content risk
206,topic,https://aggressorbulkit.online/knowledge/topics/schema-ai-citations.html,6,Schema / AI citations creator evidence | Base2026,Schema / AI citations
206,topic,https://aggressorbulkit.online/knowledge/topics/search-console-low-hanging-fruit.html,6,Search Console / low-hanging fruit creator evidence | Base2026,Search Console / low-hanging fruit
206,topic,https://aggressorbulkit.online/knowledge/topics/shared-chat-seo.html,6,Shared chat SEO creator evidence | Base2026,Shared chat SEO
206,topic,https://aggressorbulkit.online/knowledge/topics/video-seo.html,6,Video SEO creator evidence | Base2026,Video SEO
206,topic,https://aggressorbulkit.online/knowledge/topics/youtube-metadata.html,6,YouTube metadata creator evidence | Base2026,YouTube metadata
205,topic,https://aggressorbulkit.online/knowledge/topics/llms-txt-risk.html,5,llms.txt risk creator evidence | Base2026,llms.txt risk
169,creator,https://aggressorbulkit.online/knowledge/creators/build-in-public.html,69,@build_in_public source profile | Base2026,@build_in_public
132,creator,https://aggressorbulkit.online/knowledge/creators/webhivedigital.html,32,@webhivedigital source profile | Base2026,@webhivedigital
115,creator,https://aggressorbulkit.online/knowledge/creators/joshuamaraney.html,15,@joshuamaraney source profile | Base2026,@joshuamaraney
106,creator,https://aggressorbulkit.online/knowledge/creators/gobigsystems.html,6,@gobigsystems source profile | Base2026,@gobigsystems
105,creator,https://aggressorbulkit.online/knowledge/creators/darrenshawseo.html,5,@darrenshawseo source profile | Base2026,@darrenshawseo
103,creator,https://aggressorbulkit.online/knowledge/creators/iamdandavies.html,3,@iamdandavies source profile | Base2026,@iamdandavies
102,creator,https://aggressorbulkit.online/knowledge/creators/harrysandersseo.html,2,@harrysandersseo source profile | Base2026,@harrysandersseo
102,creator,https://aggressorbulkit.online/knowledge/creators/heytonyagency.html,2,@heytonyagency source profile | Base2026,@heytonyagency
40,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7512265578388737322.html,20,@tjrobertson52 source record about AI visibility / exact-answer...,@tjrobertson52
38,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7394990033972809002.html,18,@tjrobertson52 source record about Branded search filtering | Base2026,@tjrobertson52
34,source,https://aggressorbulkit.online/knowledge/sources/,14,Source Records,Source Records
34,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7649531548655521038.html,14,@tjrobertson52 source record about AI Citations | Base2026,@tjrobertson52
33,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7509080977575136534.html,13,@webhivedigital source record about ChatGPT search content | Base2026,@webhivedigital
32,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7390067814838619438.html,12,@tjrobertson52 source record about Google Business Profile basics...,@tjrobertson52
32,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7508926152535346478.html,12,@tjrobertson52 source record about AI query length / NLP-friendly...,@tjrobertson52
31,source,https://aggressorbulkit.online/knowledge/sources/tiktok-video-7512540108524997910.html,11,@build_in_public source record about Video Distribution | Base2026,@build_in_public
